team,team_join,team_urls
Boston Bruins,Boston,Boston_Bruins
Buffalo Sabres,Buffalo,Buffalo_Sabres
Detroit Red Wings,Detroit,Detroit_Red_Wings
Florida Panthers,Florida,Florida_Panthers
Montreal Canadiens,Montreal,Montreal_Canadiens
Ottawa Senators,Ottawa,Ottawa_Senators
Tampa Bay Lightning,Tampa,Tampa_Bay_Lightning
Toronto Maple Leafs,Toronto,Toronto_Maple_Leafs
Carolina Hurricanes,Carolina,Carolina_Hurricanes
Columbus Blue Jackets,Columbus,Columbus_Blue_Jackets
New Jersey Devils,New,New_Jersey_Devils
New York Islanders,New,New_York_Islanders
New York Rangers,New,New_York_Rangers
Philadelphia Flyers,Philadelphia,Philadelphia_Flyers
Pittsburgh Penguins,Pittsburgh,Pittsburgh_Penguins
Washington Capitals,Washington,Washington_Capitals
Chicago Blackhawks,Chicago,Chicago_Blackhawks
Colorado Avalanche,Colorado,Colorado_Avalanche
Dallas Stars,Dallas,Dallas_Stars
Minnesota Wild,Minnesota,Minnesota_Wild
Nashville Predators,Nashville,Nashville_Predators
St. Louis Blues,St,St._Louis_Blues
Winnipeg Jets,Winnipeg,Winnipeg_Jets
Anaheim Ducks,Anaheim,Anaheim_Ducks
Arizona Coyotes,Arizona,Arizona_Coyotes
Calgary Flames,Calgary,Calgary_Flames
Edmonton Oilers,Edmonton,Edmonton_Oilers
Los Angeles Kings,Los,Los_Angeles_Kings
San Jose Sharks,San,San_Jose_Sharks
Vancouver Canucks,Vancouver,Vancouver_Canucks
Vegas Golden Knights,Vegas,Vegas_Golden_Knights
